Gene,Degree
TBC1D31,222
ATAD2,276
SQLE,197
CASC8,34
PSCA,72
SLURP2,67
TONSL,153
RECQL4,214
LOC107987042,61
LOC107986990,36
MIR31HG,114
IFNE,122
CA9,98
MELK,326
IGFBPL1,73
LOC105376042,44
LINC01410,11
LINC00537,33
LOC101927069,78
PSAT1,147
CKS2,261
FBP1,77
ZNF367,145
GALNT12,40
PTPN3,215
C9orf43,134
TRAF1,19
LHX2,256
GARNL3,225
112268056,284
ZDHHC12,88
FAM78A,99
OBP2A,91
FUT7,89
SAPCD2,249
AKR1C2,183
ITIH5,51
MCM10,222
LOC105378305,142
ZWINT,263
CDK1,281
RTKN2,226
PBLD,157
DNA2,142
KCNMA1,98
PTEN,298
LIPM,89
KIF20B,339
KIF11,339
CEP55,265
FFAR4,91
HELLS,276
ENTPD1,97
CC2D2B,90
C10orf88B,118
LINC00601,65
MKI67,314
ADAM8,76
IRF7,76
LOC107984301,69
ADM,117
LDHA,175
105376579,67
E2F8,182
SVIP,112
MUC15,17
BBOX1-AS1,121
CCDC34,185
BDNF,65
KIF18A,304
PAX6,115
PRRG4,87
PRR5L,80
CD82,53
PTPRJ,88
GLYATL2,70
GLYATL1,22
FAM111B,207
FEN1,278
INCENP,307
CDCA5,241
TIGD3,76
CNIH2,130
LOC112268076,18
FOLR1,45
P2RY2,41
RELT,258
DDIAS,266
PGR,149
LOC105369458,190
MMP12,108
GUCY1A2,70
APOA1,35
H2AX,131
CCDC15,163
CHEK1,182
LOC105369551,119
VSIG10L2,38
BARX2,64
GLB1L3,45
LINC00942,54
LOC107984131,35
NRIP2,18
FOXM1,228
RAD51AP1,283
GAPDH-DT,239
CDCA3,170
107987172,201
DDX12P,121
OLR1,63
TMEM52B,77
GPR19,82
107984129,86
MGST1,15
LOC105369685,57
LOC107984475,56
BMAL2,126
BMAL2-AS1,188
DENND5B,60
TMEM106C,197
DDN,22
TROAP,159
RACGAP1,249
KRT71,67
KRT8,43
MIR9898,44
ESPL1,202
HOXC13,94
HOXC11,53
LOC100240735,82
CBX5,229
SCAT2,198
CDK2,265
TIMELESS,236
PRIM1,210
STAC3,73
LGR5,96
E2F7,233
CRADD-AS1,178
TMPO-AS1,156
PARPBP,161
WSCD2,208
LOC105369965,32
OAS3,80
OAS2,86
RNFT2,106
CIT,263
KNTC1,137
BRI3BP,224
THRIL,221
LINC02370,49
GALNT9,80
GALNT9-AS1,25
SKA3,295
SLC7A1,121
UBE2L5,100
BRCA2,141
LOC107984551,98
LINC01050,92
107984567,97
DHRS12,238
LOC101929657,58
CKAP2,212
PCDH8,55
GPR183,89
LINC01232,96
TRAC,103
PCK2,97
COCH,114
PAX9,108
CDKN3,193
DLGAP5,286
SIX1,90
RHOJ,85
PLEK2,128
MAP3K9-DT,37
ACYP1,146
FLRT2-AS1,60
LINC02316,69
KCNK13,41
LINC02287,59
IFI27,65
SERPINA1,80
FAM30C,84
NIPA1,117
MKRN3,56
ATP10A,111
LOC100288637,145
ARHGAP11A,190
RYR3,60
BUB1B,276
KNL1,213
CHAC1,102
OIP5,136
NUSAP1,208
WDR76,167
C15orf48,86
MIR147B,90
CEP152,227
SLC27A2,38
PCLAF,250
PIF1,231
ZWILCH,216
LCTL,184
KIF23,237
CPLX3,41
ISL2,190
MINAR1,124
LINC01583,139
LOC105370924,148
LOC105370953,137
LOC105370960,72
FANCI,167
TICRR,172
MESP1,100
MESP2,168
ANPEP,61
BLM,232
FURIN,55
PRC1,290
PRC1-AS1,285
SNORA10,67
SYNGR3,90
CCNF,252
TEDC2,195
PRSS21,43
PAQR4,223
PKMYT1,199
SRL,184
RMI2,129
ARL6IP1,179
REXO5,83
ZP2,10
OTOA,59
OTOAP1,58
PLK1,206
ERN2,47
LINC02195,77
IL21R,105
SBK1,103
KIF22,210
107984837,168
TBX6,34
ZNF267,54
SHCBP1,308
ORC6,214
NKD1,93
LOC101927272,120
SALL1,117
LOC107984886,89
IRX3,111
LOC105371275,168
CRNDE,257
IRX5,202
MT1G,61
CMTM1,143
GINS2,246
SLC7A5,128
CDT1,212
RFLNB,116
HASPIN,200
LOC107985017,132
PIMREG,127
SCARNA21,41
TMEM107,46
AURKB,84
MGC12916,113
ADORA2B,76
SHMT1,85
SPAG5,292
ATAD5,246
RHBDL3,80
ASIC2,231
LOC147004,97
LRRC37A8P,90
RDM1,145
TOP2A,272
IGFBP4,222
KRT31,41
BRCA1,205
HROB,289
KIF18B,226
FMNL1-AS1,60
HOXB7,76
HOXB9,28
PRAC2,86
MIR3185,91
DLX4,63
SKA2,203
PRR11,156
TBX4,36
BRIP1,260
LOC729683,68
LINC01152,59
SOX9-AS1,39
SOX9,35
LINC00673,120
CD300A,97
CD300LF,90
ITGB4,48
RNF157,160
TK1,82
107985050,140
BIRC5,203
LINC01971,100
LRRC45,66
RAC3,95
NDC80,239
ARHGAP28,137
OSBPL1A,68
MOCOS,137
MIR924HG,135
LIPG,184
SKA1,291
LOC105372115,103
HMSD,19
ABCA7,40
LMNB2,305
GIPC3,73
CHAF1A,236
107985297,199
UHRF1,290
ZNF560,37
DNMT1,77
ICAM1,81
SPC24,210
RNASEH2A,226
ZSWIM4,23
BRME1,64
ASF1B,168
LOC105372296,30
IFI30,104
PBX4,99
LPAR2,93
ZNF726,133
CCNE1,124
FAM187B,35
IGFLR1,97
WDR62,233
CYP2S1,87
PLAUR,97
KCNN4,85
APOC1,88
APOC4-APOC2,96
APOC2,96
CKM,29
KLC3,122
PPP1R13L,90
EML2-AS1,95
LIG1,203
107984140,144
GRIN2D,64
FAM83E,43
HRC,37
KLK5,45
KLK7,51
SIGLEC9,144
SIGLEC7,142
LOC101928517,99
LILRA6,109
TTYH1,49
NLRP2,57
MIMT1,74
SIRPG,87
MCM8,263
ANKEF1,71
MGME1,286
GINS1,299
TPX2,263
DNMT3B,147
E2F1,238
FAM83D,86
LOC105372613,27
PABPC1L,33
UBE2C,264
MMP9,58
SLC12A5-AS1,57
EYA2-AS1,100
CBLN4,42
AURKA,249
GATA5,70
MYT1,67
LOC102723996,68
107987294,36
MIR155HG,78
JAM2,85
LOC105372793,50
CBR3-AS1,30
CBR3,16
DOP1B,44
CHAF1B,264
LOC107985492,215
KCNJ15,131
LOC107985513,66
RIPK4,41
PDE9A-AS1,22
FRGCA,70
LINC02575,96
C21orf58,163
RIMBP3,60
DGCR11,86
CDC45,177
SERPIND1,29
AIFM3,117
RIMBP3B,73
LOC107985532,35
OSM,90
MCM5,83
RASD2,14
APOBEC3B,187
RANGAP1,162
CENPM,292
SMIM45,43
OGFRP1,63
PNPLA3,210
SMC1B,155
RIBC2,202
WNT7B,134
GTSE1,254
ADM2,33
107985627,17
FRMPD4,99
TLR8-AS1,42
LINC02154,70
FANCB,164
POLA1,294
LOC105373150,105
GK,81
DIPK2B,169
PFKFB1,83
ERCC6L,289
FTX,180
CENPI,292
TAF7L,50
GLRA4,31
IRS4,36
KCNE5,88
AGTR2,58
SNORA69,22
GPC3,94
MIR503HG,61
CSAG2,110
CSAG1,112
CSAG3,77
IRAK1,123
MT-TV,56
MT-TR,52
